price,sector,property_type,bedrooms,area_m2
137200,Santiago de los Cab...,apartment,3,98
172000,Santiago de los Cab...,apartment,3,115
77091,Santiago de los Cab...,apartment,2,63
68600,Bávaro/Punta Cana,apartment,1,51
225000,Santiago de los Cab...,apartment,2,100
79500,Otras ciudades,apartment,2,75
294500,Santiago de los Cab...,apartment,3,190
215000,Santiago de los Cab...,apartment,3,130
340000,Paraíso,apartment,3,200
269000,Las Terrenas,apartment,2,117
245000,Las Terrenas,apartment,2,85
215000,El Millón I,apartment,2,97
162000,Evaristo Morales,apartment,2,128
140000,Bella Vista,apartment,2,103
160000,El Millón,apartment,3,157
58700,Santo Domingo Este,apartment,2,64
380000,Mirador Sur,apartment,3,173
450000,Distrito Nacional,house,2,330
290000,Distrito Nacional,apartment,3,192
104000,Bávaro/Punta Cana,apartment,3,75
295000,Distrito Nacional,apartment,3,171
200000,RENACIMIENTO,apartment,3,185
216980,Evaristo Morales,apartment,3,158
169000,Bella Vista,apartment,1,73
215000,Los Cacicazgos,apartment,2,163
184000,Los Cacicazgos,apartment,2,122
131440,La Julia,apartment,2,82
170000,El Millón,apartment,3,101
230330,Mirador Norte,apartment,2,116
